btc,eth,timestamp
104531,2478.63,2025-06-07T01:18:06.282707
104531,2478.63,2025-06-07T01:18:06.312606
104537,2477.73,2025-06-07T01:30:16.615210
105793,2522.46,2025-06-07T22:14:16.658753
101615,2278.27,2025-06-21T23:20:54.930391
101615,2278.27,2025-06-21T23:20:55.237084
101477,2271.37,2025-06-21T23:28:07.301679
101474,2268.72,2025-06-21T23:31:06.432217
101425,2264.45,2025-06-21T23:33:39.246902
101391,2262.09,2025-06-21T23:35:04.911706
101293,2250.93,2025-06-21T23:40:04.383652
101271,2240.28,2025-06-21T23:45:04.498839
102092,2294.01,2025-06-22T00:02:25.227800
102239,2298.66,2025-06-22T00:05:03.970165
102319,2297.88,2025-06-22T00:10:03.749021
102130,2285.56,2025-06-22T00:15:04.944651
